Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,270.73999,280.790009,270.51001,280.600006,7016700,280.600006
2017-02-10,269.790009,270.950012,266.109985,269.230011,3619700,269.230011
2017-02-09,266.25,271.179993,266.149994,269.200012,7820200,269.200012
2017-02-08,257.350006,263.359985,256.200012,262.079987,3933000,262.079987
2017-02-07,258.190002,260.00,256.420013,257.480011,4244800,257.480011
2017-02-06,251.00,257.820007,250.630005,257.769989,3562500,257.769989
2017-02-03,251.910004,252.179993,249.679993,251.330002,2186700,251.330002
2017-02-02,248.339996,252.419998,247.710007,251.550003,2499800,251.550003
2017-02-01,253.050003,253.199997,249.050003,249.240005,3958800,249.240005
2017-01-31,249.240005,255.889999,247.699997,251.929993,4116100,251.929993
2017-01-30,252.529999,255.289993,247.100006,250.630005,3801100,250.630005
2017-01-27,251.380005,253.00,248.520004,252.949997,3166300,252.949997
2017-01-26,254.289993,255.740005,250.75,252.509995,3152100,252.509995
2017-01-25,257.309998,258.459991,251.800003,254.470001,5142600,254.470001
2017-01-24,250.00,254.800003,249.649994,254.610001,4965500,254.610001
2017-01-23,245.850006,250.889999,245.50,248.919998,6262900,248.919998
2017-01-20,245.460007,246.00,243.009995,244.729996,4204300,244.729996
2017-01-19,247.25,248.679993,240.75,243.759995,7732300,243.759995
2017-01-18,236.649994,239.710007,235.580002,238.360001,3769000,238.360001
2017-01-17,236.699997,239.960007,234.369995,235.580002,4617500,235.580002
